pair_key,from_id,to_id,status,status_ab,status_ba,ab_latency_ms,ba_latency_ms,ab_bandwidth_mbps,ba_bandwidth_mbps,ab_utilization_pct,ba_utilization_pct,ab_packet_loss_pct,ba_packet_loss_pct,ab_jitter_ms,ba_jitter_ms,ab_ts,ba_ts,latency_peak_ms,bandwidth_peak_mbps,display_label
cloud-bj-01||terminal-phone-01,cloud-bj-01,terminal-phone-01,up,up,up,32,32,1234,1234,42,38,0.16,0.16,2.24,2.24,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,32,1234,32ms/32ms | 1.23Gbps/1.23Gbps
cloud-cn-registry||cloud-hz-03,cloud-cn-registry,cloud-hz-03,up,up,up,15,15,8310,8310,51,57,0.08,0.08,1.5,1.5,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,15,8310,15ms/15ms | 8.31Gbps/8.31Gbps
cloud-cn-registry||cloud-sh-01,cloud-cn-registry,cloud-sh-01,up,up,up,16,16,8293,8293,34,35,0.08,0.08,2.03,2.03,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,16,8293,16ms/16ms | 8.29Gbps/8.29Gbps
cloud-cn-registry||edge-bj-01,cloud-cn-registry,edge-bj-01,up,up,up,24,24,4884,4884,43,51,0.11,0.11,2.52,2.52,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,24,4884,24ms/24ms | 4.88Gbps/4.88Gbps
cloud-cn-registry||edge-bj-02,cloud-cn-registry,edge-bj-02,degraded,degraded,degraded,31,31,4129,4129,58,71,0.14,0.14,3.23,3.23,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,31,4129,31ms/31ms | 4.13Gbps/4.13Gbps
cloud-cn-registry||edge-gz-01,cloud-cn-registry,edge-gz-01,down,down,down,48,48,3891,3891,56,59,0.22,0.22,3.52,3.52,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,48,3891,48ms/48ms | 3.89Gbps/3.89Gbps
cloud-cn-registry||edge-sh-01,cloud-cn-registry,edge-sh-01,up,up,up,24,24,4899,4899,42,49,0.11,0.11,2.07,2.07,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,24,4899,24ms/24ms | 4.9Gbps/4.9Gbps
cloud-cn-registry||gw-bj-01,cloud-cn-registry,gw-bj-01,up,up,up,23,23,2709,2709,48,53,0.11,0.11,1.99,1.99,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,23,2709,23ms/23ms | 2.71Gbps/2.71Gbps
cloud-cn-registry||gw-sh-01,cloud-cn-registry,gw-sh-01,up,up,up,23,23,2724,2724,35,37,0.11,0.11,2.44,2.44,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,23,2724,23ms/23ms | 2.72Gbps/2.72Gbps
cloud-cn-registry||terminal-desktop-01,cloud-cn-registry,terminal-desktop-01,up,up,up,40,40,120,120,40,41,0.19,0.19,3.76,3.76,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,40,120,40ms/40ms | 120Mbps/120Mbps
cloud-cn-registry||terminal-phone-01,cloud-cn-registry,terminal-phone-01,up,up,up,38,38,249,249,34,34,0.18,0.18,3.62,3.62,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,38,249,38ms/38ms | 249Mbps/249Mbps
cloud-hz-03||cloud-sh-01,cloud-hz-03,cloud-sh-01,up,up,up,12,12,9152,9152,58,53,0.07,0.07,0.96,0.96,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,12,9152,12ms/12ms | 9.15Gbps/9.15Gbps
cloud-hz-03||edge-bj-01,cloud-hz-03,edge-bj-01,up,up,up,26,26,4795,4795,67,69,0.12,0.12,2.83,2.83,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,26,4795,26ms/26ms | 4.79Gbps/4.79Gbps
cloud-hz-03||edge-bj-02,cloud-hz-03,edge-bj-02,degraded,degraded,degraded,33,35,2400,2600,90,88,1,0.9,5.1,4.6,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,35,2600,33ms/35ms | 2.4Gbps/2.6Gbps
cloud-hz-03||edge-gz-01,cloud-hz-03,edge-gz-01,down,degraded,down,120,49,300,3111,95,68,8.5,0.23,18,4.23,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,120,3111,120ms/49ms | 300Mbps/3.11Gbps
cloud-hz-03||edge-sh-01,cloud-hz-03,edge-sh-01,up,up,up,20,20,5758,5758,66,67,0.1,0.1,1.9,1.9,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,20,5758,20ms/20ms | 5.76Gbps/5.76Gbps
cloud-hz-03||gw-bj-01,cloud-hz-03,gw-bj-01,up,up,up,20,20,2660,2660,60,57,0.1,0.1,1.9,1.9,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,20,2660,20ms/20ms | 2.66Gbps/2.66Gbps
cloud-hz-03||gw-sh-01,cloud-hz-03,gw-sh-01,up,up,up,14,14,3623,3623,59,55,0.07,0.07,1.87,1.87,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,14,3623,14ms/14ms | 3.62Gbps/3.62Gbps
cloud-hz-03||terminal-desktop-01,cloud-hz-03,terminal-desktop-01,up,up,up,34,34,568,568,54,50,0.17,0.17,2.86,2.86,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,34,568,34ms/34ms | 568Mbps/568Mbps
cloud-hz-03||terminal-phone-01,cloud-hz-03,terminal-phone-01,up,up,up,39,39,369,369,47,43,0.19,0.19,3.21,3.21,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,39,369,39ms/39ms | 369Mbps/369Mbps
cloud-sh-01||edge-bj-01,cloud-sh-01,edge-bj-01,up,up,up,27,27,4778,4778,58,65,0.12,0.12,2.46,2.46,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,27,4778,27ms/27ms | 4.78Gbps/4.78Gbps
cloud-sh-01||edge-bj-02,cloud-sh-01,edge-bj-02,degraded,degraded,degraded,29,29,4063,4063,74,84,0.13,0.13,2.77,2.77,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,29,4063,29ms/29ms | 4.06Gbps/4.06Gbps
cloud-sh-01||edge-gz-01,cloud-sh-01,edge-gz-01,down,down,down,52,52,3081,3081,59,61,0.24,0.24,4.12,4.12,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,52,3081,52ms/52ms | 3.08Gbps/3.08Gbps
cloud-sh-01||edge-sh-01,cloud-sh-01,edge-sh-01,up,up,up,17,18,4300,4200,54,58,0.04,0.05,1.1,1.2,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,18,4300,17ms/18ms | 4.3Gbps/4.2Gbps
cloud-sh-01||gw-bj-01,cloud-sh-01,gw-bj-01,up,up,up,21,21,2643,2643,51,53,0.1,0.1,2.43,2.43,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,21,2643,21ms/21ms | 2.64Gbps/2.64Gbps
cloud-sh-01||gw-sh-01,cloud-sh-01,gw-sh-01,up,up,up,15,15,3606,3606,50,51,0.08,0.08,1.5,1.5,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,15,3606,15ms/15ms | 3.61Gbps/3.61Gbps
cloud-sh-01||terminal-desktop-01,cloud-sh-01,terminal-desktop-01,up,up,up,31,31,580,580,43,43,0.15,0.15,2.33,2.33,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,31,580,31ms/31ms | 580Mbps/580Mbps
cloud-sh-01||terminal-phone-01,cloud-sh-01,terminal-phone-01,up,up,up,42,42,339,339,37,36,0.2,0.2,3.1,3.1,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,42,339,42ms/42ms | 339Mbps/339Mbps
edge-bj-01||edge-bj-02,edge-bj-01,edge-bj-02,degraded,degraded,degraded,13,13,3346,3346,90,93,0.67,0.67,1.34,1.34,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,13,3346,13ms/13ms | 3.35Gbps/3.35Gbps
edge-bj-01||edge-gz-01,edge-bj-01,edge-gz-01,down,down,down,41,41,2413,2413,74,71,0.19,0.19,3.67,3.67,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,41,2413,41ms/41ms | 2.41Gbps/2.41Gbps
edge-bj-01||edge-sh-01,edge-bj-01,edge-sh-01,up,up,up,17,17,3128,3128,73,72,0.09,0.09,1.96,1.96,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,17,3128,17ms/17ms | 3.13Gbps/3.13Gbps
edge-bj-01||gw-bj-01,edge-bj-01,gw-bj-01,up,up,up,4,5,2200,2000,44,49,0.01,0.02,0.3,0.4,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,5,2200,4ms/5ms | 2.2Gbps/2Gbps
edge-bj-01||gw-sh-01,edge-bj-01,gw-sh-01,up,up,up,12,12,2185,2185,66,60,0.07,0.07,1.11,1.11,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,12,2185,12ms/12ms | 2.19Gbps/2.19Gbps
edge-bj-01||terminal-desktop-01,edge-bj-01,terminal-desktop-01,up,up,up,23,23,120,120,58,53,0.12,0.12,2.09,2.09,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,23,120,23ms/23ms | 120Mbps/120Mbps
edge-bj-01||terminal-phone-01,edge-bj-01,terminal-phone-01,up,up,up,20,20,1348,1348,52,46,0.11,0.11,1.88,1.88,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,20,1348,20ms/20ms | 1.35Gbps/1.35Gbps
edge-bj-02||edge-gz-01,edge-bj-02,edge-gz-01,down,down,down,42,42,2407,2407,84,78,0.2,0.2,3.9,3.9,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,42,2407,42ms/42ms | 2.41Gbps/2.41Gbps
edge-bj-02||edge-sh-01,edge-bj-02,edge-sh-01,degraded,degraded,degraded,19,19,2413,2413,93,87,0.69,0.69,2.27,2.27,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,19,2413,19ms/19ms | 2.41Gbps/2.41Gbps
edge-bj-02||gw-bj-01,edge-bj-02,gw-bj-01,degraded,degraded,degraded,16,18,850,900,84,86,1.3,1.1,3.8,3.2,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,18,900,16ms/18ms | 850Mbps/900Mbps
edge-bj-02||gw-sh-01,edge-bj-02,gw-sh-01,degraded,degraded,degraded,19,19,1430,1430,85,76,0.09,0.09,1.82,1.82,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,19,1430,19ms/19ms | 1.43Gbps/1.43Gbps
edge-bj-02||terminal-desktop-01,edge-bj-02,terminal-desktop-01,degraded,degraded,degraded,31,31,120,120,75,67,0.15,0.15,2.81,2.81,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,31,120,31ms/31ms | 120Mbps/120Mbps
edge-bj-02||terminal-phone-01,edge-bj-02,terminal-phone-01,degraded,degraded,degraded,28,28,643,643,69,60,0.14,0.14,2.6,2.6,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,28,643,28ms/28ms | 643Mbps/643Mbps
edge-gz-01||edge-sh-01,edge-gz-01,edge-sh-01,down,down,down,38,38,2449,2449,72,74,0.18,0.18,3.62,3.62,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,38,2449,38ms/38ms | 2.45Gbps/2.45Gbps
edge-gz-01||gw-bj-01,edge-gz-01,gw-bj-01,down,down,down,36,36,1565,1565,68,68,0.17,0.17,3.16,3.16,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,36,1565,36ms/36ms | 1.56Gbps/1.56Gbps
edge-gz-01||gw-sh-01,edge-gz-01,gw-sh-01,down,down,down,39,39,1559,1559,58,57,0.19,0.19,3.53,3.53,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,39,1559,39ms/39ms | 1.56Gbps/1.56Gbps
edge-gz-01||terminal-desktop-01,edge-gz-01,terminal-desktop-01,down,down,down,48,48,120,120,58,56,0.22,0.22,3.84,3.84,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,48,120,48ms/48ms | 120Mbps/120Mbps
edge-gz-01||terminal-phone-01,edge-gz-01,terminal-phone-01,down,down,down,46,46,120,120,52,49,0.21,0.21,3.7,3.7,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,46,120,46ms/46ms | 120Mbps/120Mbps
edge-sh-01||gw-bj-01,edge-sh-01,gw-bj-01,up,up,up,12,12,2185,2185,64,62,0.07,0.07,1.11,1.11,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,12,2185,12ms/12ms | 2.19Gbps/2.19Gbps
edge-sh-01||gw-sh-01,edge-sh-01,gw-sh-01,up,up,up,5,6,1750,1800,46,51,0.02,0.03,0.5,0.6,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,6,1800,5ms/6ms | 1.75Gbps/1.8Gbps
edge-sh-01||terminal-desktop-01,edge-sh-01,terminal-desktop-01,up,up,up,19,19,694,694,58,54,0.11,0.11,1.97,1.97,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,19,694,19ms/19ms | 694Mbps/694Mbps
edge-sh-01||terminal-phone-01,edge-sh-01,terminal-phone-01,up,up,up,24,24,495,495,52,47,0.13,0.13,2.32,2.32,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,24,495,24ms/24ms | 495Mbps/495Mbps
gw-bj-01||gw-sh-01,gw-bj-01,gw-sh-01,up,up,up,19,19,1846,1846,54,53,0.09,0.09,2.12,2.12,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,19,1846,19ms/19ms | 1.85Gbps/1.85Gbps
gw-bj-01||terminal-desktop-01,gw-bj-01,terminal-desktop-01,up,up,up,20,20,669,669,52,50,0.11,0.11,1.72,1.72,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,20,669,20ms/20ms | 669Mbps/669Mbps
gw-bj-01||terminal-phone-01,gw-bj-01,terminal-phone-01,up,up,up,10,12,120,80,28,34,0.1,0.2,1.2,1.6,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,12,120,10ms/12ms | 120Mbps/80Mbps
gw-sh-01||terminal-desktop-01,gw-sh-01,terminal-desktop-01,up,up,up,8,9,600,300,22,25,0.03,0.05,0.7,0.9,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,9,600,8ms/9ms | 600Mbps/300Mbps
gw-sh-01||terminal-phone-01,gw-sh-01,terminal-phone-01,up,up,up,21,21,453,453,46,44,0.11,0.11,1.95,1.95,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,21,453,21ms/21ms | 453Mbps/453Mbps
terminal-desktop-01||terminal-phone-01,terminal-desktop-01,terminal-phone-01,up,up,up,29,29,398,398,34,33,0.15,0.15,2.19,2.19,2026-03-27T11:59:55+08:00,2026-03-27T11:59:55+08:00,29,398,29ms/29ms | 398Mbps/398Mbps
